▁their ▁hum mus ▁with ▁ve gg ies ▁is ▁a ▁very ▁good ▁portion ▁for ▁ _ num _ ▁as ▁well ▁. <eos>
▁good ▁prices ▁, ▁and ▁a ▁very ▁comfortable ▁, ▁family - friendly ▁atmosphere ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁and ▁george ▁and ▁the ▁staff ▁are ▁friendly ▁and ▁super ▁cour te ous ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁staff ▁are ▁ins an ely ▁sweet ▁every ▁time ▁i ▁go ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁most ▁important ▁thing ▁, ▁of ▁course ▁, ▁is ▁the ▁food ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁for ▁making ▁the ▁hot ▁chocolate ▁warm ▁for ▁my ▁todd ler ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁hot ▁and ▁sour ▁soup ▁is ▁both ▁original ▁and ▁memorable ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁entire ▁staff ▁was ▁friendly ▁, ▁prompt ▁, ▁and ▁efficient ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁service ▁is ▁att ent ive ▁, ▁prompt ▁, ▁and ▁pleasant ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁bar ist as ▁are ▁always ▁pretty ▁chill ▁and ▁friendly ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁will ▁continue ▁to ▁stop ▁by ▁here ▁to ▁relax ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁food ▁was ▁really ▁good ▁, ▁as ▁was ▁the ▁service ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁great ▁neighborhood ▁chinese ▁place ▁: ▁check ▁it ▁out ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁everything ▁tast es ▁fresh ▁and ▁as ▁it ▁should ▁be ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁we ▁love ▁going ▁there ▁for ▁the ▁lunch ▁buff et ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁we ▁got ▁lunch ▁specials ▁and ▁left ▁feeling ▁very ▁satisfied ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁also ▁, ▁everyone ▁was ▁super ▁friendly ▁and ▁nice ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁excellent ▁knowledge able ▁dent ist ▁and ▁staff ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁food ▁was ▁fresh ▁and ▁very ▁flavor ful ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁it ▁is ▁so ▁rich ▁and ▁cream y ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁have ▁yet ▁to ▁find ▁one ▁better ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁their ▁capp uc c ino ▁is ▁good ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁than k ▁you ▁for ▁a ▁great ▁coffee ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁front ▁desk ▁staff ▁is ▁very ▁helpful ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁george ▁himself ▁is ▁often ▁there ▁as ▁well ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁love ▁george ▁& ▁son ▁' s ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁best ▁chinese ▁food ▁in ▁scot ts dale ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁honey ▁chicken ▁is ▁del icious ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁we ▁will ▁definitely ▁be ▁back ▁again ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁probably ▁my ▁favorite ▁restaurant ▁around ▁the ▁area ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁probably ▁the ▁best ▁coffee ▁they ▁make ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁service ▁is ▁decent ▁as ▁well ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁ _ num _ ▁starts ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁very ▁car ing ▁and ▁friendly ▁staff ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁it ▁' s ▁worth ▁the ▁trip ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁highly ▁recommend ▁both ▁of ▁these ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁love ▁their ▁food ▁and ▁service ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁atmosphere ▁is ▁extremely ▁nice ▁inside ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁my ▁water ▁glass ▁was ▁always ▁full ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁best ▁chinese ▁food ▁in ▁arizona ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁highly ▁recommend ▁for ▁anyone ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁good ▁service ▁and ▁nice ▁people ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁we ▁enjoyed ▁the ▁friendly ▁service ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁best ▁in ▁town ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁bonus ▁is ▁the ▁service ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁price ▁was ▁very ▁reasonable ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁dream ▁of ▁this ▁place ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁very ▁nice ▁contemporary ▁chinese ▁cuisine ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁love ▁the ▁amb ience ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁recommend ▁the ▁shrimp ▁fried ▁rice ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁this ▁place ▁does ▁it ▁right ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁salmon ▁was ▁prepared ▁perfectly ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁y um ▁y um ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁best ▁chinese ▁hands ▁down ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁always ▁friendly ▁and ▁fast ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁strongly ▁recommend ▁it ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁classics ▁taste ▁great . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁love ▁the ▁food ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁love ▁the ▁prices ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁everything ▁else ▁was ▁fantastic ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁nice ▁atmosphere ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁love ▁this ▁place ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁w ow ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁del ish ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁good ▁location ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁friendly ▁staff ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁nice ▁people ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁highly ▁recommended ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁excellent ▁food ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
